ROUGE-1,ROUGE-2,ROUGE-SU4
0.5,0.16667,0.15385
1.0,0.5,0.47368
0.25,0.0,0.09375
0.25,0.14286,0.07895
0.375,0.0,0.13158
0.44444,0.25,0.23684
0.11111,0.0,0.02632
0.25,0.14286,0.07895
0.0,0.0,0.0
0.0,0.0,0.0
0.33333,0.0,0.10526
0.33333,0.0,0.05263
0.125,0.0,0.03125
0.44444,0.14286,0.13158
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.02632
0.55556,0.25,0.18421
0.125,0.0,0.03125
0.125,0.0,0.0
0.11111,0.0,0.02632
0.0,0.0,0.0
0.11111,0.0,0.02632
0.125,0.0,0.03125
0.11111,0.0,0.02632
0.22222,0.0,0.0
0.44444,0.14286,0.13158
0.11111,0.0,0.02632
0.33333,0.25,0.15789
0.875,0.57143,0.78125
0.25,0.0,0.03125
0.42857,0.16667,0.125
0.125,0.0,0.0
0.25,0.0,0.03125
0.28571,0.16667,0.09375
0.375,0.16667,0.15625
0.0,0.0,0.0
0.0,0.0,0.0
0.42857,0.28571,0.19231
0.125,0.0,0.03125
0.375,0.16667,0.15625
0.25,0.0,0.0625
0.42857,0.16667,0.19231
0.625,0.42857,0.46875
0.0,0.0,0.0
0.28571,0.16667,0.09375
0.0,0.0,0.0
0.0,0.0,0.0
0.125,0.0,0.0
0.28571,0.16667,0.09375
0.28571,0.14286,0.09375
0.25,0.0,0.03125
0.5,0.28571,0.21875
0.125,0.0,0.0
0.125,0.0,0.03125
0.125,0.0,0.0
0.125,0.0,0.03125
0.14286,0.0,0.03846
0.0,0.0,0.0
0.14286,0.0,0.03846
0.125,0.0,0.0
0.5,0.28571,0.26316
0.66667,0.14286,0.26316
0.0,0.0,0.0
0.25,0.14286,0.0625
0.33333,0.14286,0.10526
0.0,0.0,0.0
0.125,0.0,0.03125
0.125,0.0,0.03125
0.2,0.0,0.04545
0.0,0.0,0.0
0.3,0.0,0.06818
0.1,0.0,0.02273
0.11111,0.0,0.02273
0.0,0.0,0.0
0.5,0.14286,0.21875
0.125,0.0,0.03125
0.11111,0.0,0.02632
0.5,0.14286,0.25
0.25,0.14286,0.09375
0.11111,0.0,0.02632
0.1,0.0,0.02273
0.25,0.14286,0.09375
0.33333,0.14286,0.13158
0.25,0.14286,0.09375
0.125,0.0,0.03125
0.0,0.0,0.0
0.3,0.14286,0.11364
0.25,0.14286,0.09375
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,0.14286,0.09375
0.0,0.0,0.0
0.11111,0.0,0.0
0.125,0.0,0.03125
0.0,0.0,0.0
0.11111,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.125,0.0,0.03125
0.125,0.0,0.03125
0.66667,0.4,0.3
0.14286,0.0,0.03846
0.66667,0.5,0.5
0.33333,0.0,0.1
0.5,0.2,0.2
0.33333,0.2,0.15
0.42857,0.2,0.15385
0.14286,0.0,0.03846
0.42857,0.2,0.11538
0.14286,0.0,0.0
0.33333,0.2,0.15
0.0,0.0,0.0
0.33333,0.2,0.15
0.0,0.0,0.0
0.33333,0.2,0.15789
0.125,0.0,0.0
0.0,0.0,0.0
0.42857,0.2,0.19231
0.66667,0.4,0.3
0.14286,0.0,0.03846
0.16667,0.0,0.03846
0.14286,0.0,0.03846
0.42857,0.2,0.15385
0.42857,0.2,0.15385
0.14286,0.0,0.03846
0.42857,0.2,0.15385
0.0,0.0,0.0
0.66667,0.0,0.35
0.44444,0.16667,0.18421
0.22222,0.0,0.07895
0.16667,0.0,0.05
0.16667,0.0,0.03125
0.25,0.0,0.09375
0.11111,0.0,0.02632
0.33333,0.2,0.15
0.33333,0.0,0.1
0.0,0.0,0.0
0.0,0.0,0.0
0.22222,0.0,0.02632
0.25,0.0,0.09375
0.16667,0.0,0.05
0.33333,0.0,0.05
0.5,0.14286,0.125
0.16667,0.0,0.0
0.0,0.0,0.0
0.375,0.0,0.1
0.0,0.0,0.0
0.28571,0.0,0.07692
0.0,0.0,0.0
0.66667,0.4,0.35
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.42857,0.16667,0.15385
0.71429,0.25,0.34615
0.28571,0.125,0.11538
0.14286,0.0,0.03846
0.11111,0.0,0.02632
0.0,0.0,0.0
0.14286,0.0,0.03846
0.44444,0.125,0.07895
0.22222,0.125,0.07895
0.55556,0.25,0.15789
0.22222,0.0,0.05263
0.28571,0.125,0.11538
0.22222,0.0,0.07895
0.0,0.0,0.0
0.14286,0.0,0.0
0.0,0.0,0.0
0.28571,0.0,0.07895
0.14286,0.0,0.03846
0.0,0.0,0.0
0.11111,0.0,0.02632
0.28571,0.0,0.11538
0.22222,0.0,0.02632
0.22222,0.0,0.05263
0.11111,0.0,0.0
0.44444,0.125,0.15789
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.02632
0.14286,0.0,0.03846
0.0,0.0,0.0
0.0,0.0,0.0
0.22222,0.0,0.07895
0.11111,0.0,0.02632
0.0,0.0,0.0
0.28571,0.0,0.07895
0.44444,0.14286,0.15625
0.44444,0.125,0.15789
0.44444,0.125,0.13158
0.0,0.0,0.0
0.22222,0.0,0.05263
0.44444,0.125,0.15789
0.22222,0.125,0.07895
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.0
0.11111,0.0,0.02632
0.125,0.0,0.03125
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.02632
0.22222,0.0,0.05263
0.125,0.0,0.0
0.125,0.0,0.03125
0.11111,0.0,0.02632
0.0,0.0,0.0
0.22222,0.0,0.07895
0.0,0.0,0.0
0.22222,0.125,0.07895
0.0,0.0,0.0
0.33333,0.125,0.07895
0.0,0.0,0.0
0.125,0.0,0.03125
0.22222,0.125,0.05263
0.22222,0.0,0.07895
0.22222,0.125,0.07895
0.0,0.0,0.0
0.11111,0.0,0.02632
0.0,0.0,0.0
0.11111,0.0,0.0
0.5,0.14286,0.1875
0.125,0.0,0.03125
0.44444,0.125,0.18421
0.25,0.125,0.07895
0.22222,0.0,0.07895
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.02632
0.0,0.0,0.0
0.0,0.0,0.0
0.14286,0.0,0.02632
0.0,0.0,0.0
0.33333,0.0,0.07895
0.33333,0.0,0.0625
0.22222,0.0,0.07895
0.0,0.0,0.0
0.11111,0.0,0.02632
0.22222,0.0,0.07895
0.28571,0.125,0.09375
0.28571,0.0,0.11538
0.11111,0.0,0.02632
0.22222,0.125,0.07895
0.22222,0.125,0.07895
0.0,0.0,0.0
0.0,0.0,0.0
0.14286,0.0,0.03846
0.14286,0.0,0.03846
0.0,0.0,0.0
0.11111,0.0,0.02632
0.14286,0.0,0.03846
0.25,0.0,0.0625
0.11111,0.0,0.0
0.5,0.14286,0.28125
0.11111,0.0,0.0
0.125,0.0,0.0
0.25,0.14286,0.09375
0.0,0.0,0.0
0.11111,0.0,0.02632
0.0,0.0,0.0
0.0,0.0,0.0
0.28571,0.16667,0.11538
0.14286,0.0,0.03846
0.11111,0.0,0.0
0.14286,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.02632
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.11111,0.0,0.0
0.33333,0.0,0.11538
0.22222,0.0,0.05263
0.0,0.0,0.0
0.25,0.0,0.03846
0.0,0.0,0.0
0.14286,0.0,0.03846
0.11111,0.0,0.0
0.11111,0.0,0.02632
0.125,0.0,0.03125
0.14286,0.0,0.03846
0.0,0.0,0.0
0.875,0.57143,0.71875
0.44444,0.125,0.18421
0.25,0.0,0.0625
0.66667,0.25,0.21053
0.125,0.0,0.0
0.0,0.0,0.0
0.375,0.14286,0.09375
0.375,0.0,0.07895
0.16667,0.0,0.05
0.0,0.0,0.0
0.11111,0.0,0.0
0.0,0.0,0.0
0.33333,0.2,0.15
0.22222,0.0,0.05263
0.22222,0.0,0.05263
